hunsrik;Hunsrik;Hounsriquoise;Hunsrückisch;Hunsrik;Hunsriqueana;Hunsrichiana;Hunsrik;Hunsrik;Hunsrik;Hunsrik;Hunsriqueana;Õóíñğşêñêàÿ;Hunsrik;x
hvitrduptling;Hvítrduptling;Vitredouptelingue;Witrduptling;Chwitrduptlingska;Vitraduplingue;Vitrduptlinga;Hvítrduptling;Hvítrdrupling;Hvítrduptling;Hvítrduptling;Vitradupalinga;Ãâèòğäóïòëèíãñêàÿ;Hvítrduptling;x
ifriqi;Ifriqi;Ifriqui;Ifriqi;Ifrikska;Ifriqi;Ifrichi;Ifriqi;Ifriqi;Ifriqi;Ifriqi;Ifriqi;Èôğèêè;Ifriqi;x
illyrian;Illyrian;Illyrienne;Illyrisch;Iliryjska;Iliria;Illirico;Illyrian;Illyrian;Illyrian;Illyrian;Ilíria;Èëëèğèéñêàÿ;Illyrian;x
incacunapic;Incacunapic;Incacounapique;Inkakunapisch;Inkakunapska;Incacunapica;Incacunapica;Incacunapic;Incacunapic;Incacunapic;Incacunapisch;Incacunapiga;Èíêàêóíàïèêñêàÿ;Incacunapic;x
inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Inythmum;Initmum;Inythmum;Èíèòìóì;Inythmum;x
iroquoian;Iroquoian;Iroquoienne;Irokesisch;Irokiañska;Iroquesa;Irochese;Iroquoian;Irokoje;Iroquoian;Iroquoian;Iroquesa;Èğîêåçñêàÿ;Iroquoian;x
israeli;Israeli;Israélienne;Israeli;Izraelska;Israelí;Israelita;Izraeli;Izraelski;Izraeli;Israëlisch;Israelense;Èçğàèëüñêàÿ;Israelilainen;x
italoamericano;Italo-Americano;Italoaméricaine;Italoamerikanisch;W³ochoamerykañska;Italoamericana;Italo-Americano;Italo-Americano;Italo-Americano;Italo-Americano;Italo-Americano;Italoamericana;Èòàëîàìåğèêàíî;Italo-Americano;x
itsekari;Itsekari;Itsekiri;Itsekiri;Itsekiri;Itsekiri;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Èòñåêèğè;Itsekari;x
janalem;Janalem;Djanalem;Dschanalem;D¿analem;Yanalem;Gianalé;Janalem;Janalem;Janalem;Janalem;Janalem;Äæàíàëåì;Janalem;x
janub;Janub;Djanub;Dschanub;D¿anub;Yanub;Gianub;Janub;Janub;Janub;Janub;Janub;Äæàíóá;Janub;x
janubii;Janubii;Djanubî;Dschanubii;D¿anubii;Yanubii;Gianubi;Janubii;Janubii;Janubii;Janubii;Janubii;Äæàíóáàÿ;Janubii;x
je;Jê;Jêe;Ge;Ge;Ye;Gè;Je;Jê;Je;Je;Jê;Æå;Je;x
jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;Jerusalemer;x
jewish_group;Jewish;Juif;Jüdisch;¯ydowska;Judío;Giudaico;Zsidó;idovski;Zsidó;Joods;Judaico;Åâğåéñêàÿ;Juutalainen;x
jizni;Jiní;Yijnie;Jischni;JiŸnyska;Yiní;Jiní;Jiní;Jiní;Jiní;Jiní;Ijení;Èèæíàÿ;Jiní;x
juodaodis;Juodaodis;Youodaodisse;Juodaodis;Juodaodis;Yuodaodis;Juodaodis;Juodaodis;Juodaodis;Juodaodis;Juodaodis;Guodaodiça;Şîäàîäèñ;Juodaodis;x
juzhno;Juno;Youjnoise;Juschno;Ju¿noñska;Yuyno;Juno;Juno;Juno;Juno;Juno;Yugenoa;Şæíî;Juno;x
kaala;Kaala;Kaala;Kaala;Kaala;Kaala;Caala;Kaala;Kaala;Kaala;Kaala;Kaala;Êààëà;Kaala;x
kaifeng;Kaifeng;Kaïfeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Kaifeng;Êàéôıí;Kaifeng;x
kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Kefficho;Êåôôè÷î;Kefficho;x
kepejokian;Kepejokian;Képéyoquienne;Kepejokisch;Kepejokska;Kepeyoquia;Chepegiochiana;Kepejokian;Kepejokian;Kepejokian;Kepejokian;Quepêyoquia;Êåïåüîêñêàÿ;Kepejokian;x
kholodnovoynsky;Kholodnovoynsky;Kholodnovoïnsoise;Cholodnowojnski;Cholodnovojñska;Jolodnovoynesa;Colodnovoinsca;Kholodnovoynsky;Kholodnovoynsky;Kholodnovoynsky;Kholodnovoynsky;Kholodnovoinesa;Õîëîäíîâîéíñêàÿ;Kholodnovoynsky;x
kleinvenedig;Kleinvenedic;Klaïnvénitienne;Kleinvenezianisch;Klajnwenecka;Klaynveneciana;Clainveneziana;Kleinvenetian;Kleinvenetian;Kleinvenetian;Kleinvenetian;Clâinvenedense;Êëÿéíâåíåöèàíñêàÿ;Kleinvenetian;x
knaanic;Knaanic;Knaanique;Knaanisch;Knaañska;Knaaní;Cnaanico;Knaanic;Knaanic;Knaanic;Knaanic;Canaã;Êíààíèòñêàÿ;Knaanic;x
kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Cuba;Êóáà;Kuba;x
kujaanan;Kujaanan;Kuyanaise;Kujaanisch;Kujaañska;Kuyaná;Cuianana;Kujaanan;Kujaanan;Kujaanan;Kujaanan;Cuyânã;Êóÿíàíñêàÿ;Kujaanan;x
kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;Kulfoldi;x
laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Laaz;Ëààç;Laaz;x
lacanite;Lacanite;Lacanite;Lacanitisch;Lacanitska;Lacanita;Lacanita;Lakanit;Lacanit;Lakanit;Lacaniet;Lacanita;Ëàêàíèòñêàÿ;Lakaniitti;x
laessin;Läßin;Lessine;Läßinisch;Lessiñska;Lessina;Läßino;Läßin;Läßin;Läßin;Läßin;Lêçina;Ëåññèíñêàÿ;Läßin;x
latin;Latin;Latine;Lateinisch;£aciñska;Latina;Latino;Latin;Latinski;Latin;Latijns;Latina;Ëàòèíñêàÿ;Latina;x
lemnian;Lemnian;Lemnienne;Lemnisch;Lemnijska;Lemnia;Lemnia;Lemnian;Lemnian;Lemnian;Lemnian;Lêmnia;Ëåìíèéñêàÿ;Lemnian;x
lepontic;Lepontic;Lépontique;Lepontisch;Lepontyjska;Lepóntica;Lepontina;Lepontikus;Lepontic;Lepontikus;Lepontisch;Lepôntica;Ëåïîíòèéñêàÿ;Lepontinen;x
liphocaneth;Liphocaneth;Liphocaneth;Liphocaneth;Liphocaneth;Liphocaneth;Liphocaneth;Liphocaneth;Lipokaneth;Liphocaneth;Liphocaneth;Lipocaneth;Ëèôîêàíåò;Liphocaneth;x
lombard;Lombard;Lombarde;Langobardisch;Longobardzka;Lombarda;Longobardo;Lombardiai;Lombard;Lombardiai;Lombard;Longobarda;Ëàíãîáàğäñêàÿ;Lombard;x
lounast;Lounast;Leuounaste;Löunasch;Leunastka;Leunast;Lounast;Lunasto;Lounast;Lounast;Lounast;Leûnã;Ë¸óíàñò;Lounast;x
lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Lumenoua;Ëóìåíîâà;Lumenoua;x
lusitanian;Lusitanian;Lusitaine;Lusitanisch;Luzytañska;Lusitana;Lusitana;Luzitán;Lusitanian;Luzitán;Lusitaans;Lusitana;Ëóçèòàíñêàÿ;Lusitanilainen;x
luwian;Luwian;Louvite;Luwisch;Luwijska;Luvita;Luvia;Luwian;Luwian;Luwian;Luwian;Luvita;Ëóâèéñêàÿ;Luwian;x
lydian;Lydian;Lydienne;Lydisch;Lidyjska;Lidia;Lidia;Lydian;Lydian;Lydian;Lydian;Lídia;Ëèäèéñêàÿ;Lydian;x
macedonian;Macedonian;Macédonienne;Mazedonisch;Macedoñska;Macedonia;Macedone;Macedóniai;Makedonština;Macedóniai;Macedonisch;Macedônia;Ìàêåäîíñêàÿ;Makedonia;x
maghreb_arabic;Salinatorian;Salinatorienne;Salinatorisch;Salinatoriañska;Salinatoria;Salinatoria;Szalonképes;Salinatorian;Szalonképes;Salinatorian;Salinatoriana;Ñàëèíàòîğèéñêàÿ;Salinatorian;x
magnagreek;Magna-Greek;Magna-Grecque;Großgriechisch;Wielkogrecka;Magna-Griega;Magna-Greca;Magna-Görög;Magna-Øeètina;Magna-Görög;Magna-Grieks;Magna-Grega;Âåëèêîãğå÷åñêàÿ;Magna-kreikkalainen;x
magogic;Magogic;Magoguique;Magogisch;Magogska;Magogica;Magogico;Magogic;Magogic;Magogic;Magogisch;Magogiga;Ìàãîãñêàÿ;Magogic;x
maraivoan;Maraivoan;Maraïvoënne;Maraivoisch;Maraivoska;Maraivó;Maraivoana;Maraivoan;Maraivoan;Maraivoan;Maraivoan;Maraivoã;Ìàğàéâîñêàÿ;Maraivoan;x
maranon;Marañón;Maragnonoise;Maranjonerisch;Maranjoñska;Marañona;Maragnone;Marañón;Maranone;Marañón;Marañón;Maranhanense;Ìàğàíüîíñêàÿ;Marañón;x
mauritsstadtian;Mauritsstadtian;Mauritsstadoise;Mauritzstädtisch;Mauritsstadtska;Mauritsstadesa;Moritzstatina;Mauritsstadtian;Mauritsstadtian;Mauritsstadtian;Mauritsstadtian;Cidademauriciana;Ìàâğèòññòàäñêàÿ;Mauritsstadtian;x
mavro;Mavro;Maffroise;Mavro;Mavroska;Mavro;Mavro;Mavro;Mavro;Mavro;Mavro;Maffroense;Ìàâğî;Mavro;x
maximilianish;Maximilianish;Maximiliennoise;Maximilianisch;Maksymiliañska;Maximilianesa;Massimilianese;Maximilianish;Maximiliánskı;Maximilianish;Maximilianish;Maximilianesa;Ìàêñèìèëèàíñêàÿ;Maximilianish;x
meashighcaw;Meashighcaw;Michaïcô;Mieschajko;Miszajkowska;Meashighcaw;Misciaicà;Mísajka;Míšajka;Mísajka;Misjaëka;Mixaicã;Ìèéøàéêîâ;Mišaika;x
meksikan;Meksikan;Méquesicaine;Meksikanisch;Meksikañska;Meksicana;Megsicana;Meksikan;Meksikan;Meksikan;Meksikan;Mêquesicã;Ìåêúñèêàíñêàÿ;Meksikan;x
mesican;Mesican;Mésicaine;Mesikanisch;Mesykañska;Mesicana;Mesichese;Mesikán;Mesican;Mesikán;Mesican;Mesicana;Ìåñèêàíñêàÿ;Mesikaani;x
misrayim;Misrayim;Misrayim;Misrayim;Misrayim;Misrayim;Mizraglim;Misrayim;Misrayim;Misrayim;Misrayim;Misrayim;Ìèñğàéì;Misrayim;x
mizrahi;Mizrahi;Mizrahi;Mizrahi;Mizrahi;Mizrahi;Mizraita;Mizrahi;Mizrahi;Mizrahi;Mizrahi;Mizrahi;Ìèöğàõè;Mizrahi;x
mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Mlachthi;Ìëàêòè;Mlachthi;x
morado;Morado;Morade;Morado;Moradska;Morada;Morado;Morado;Morado;Morado;Morado;Morada;Ìîğàäî;Morado;x
morlach;Morlach;Morlacque;Maurowalachisch;Morlach;Morlaca;Morlacca;Morlach;Morlach;Morlach;Morlach;Morlaca;Ìîğëàõñêàÿ;Morlach;x
muskogean;Muskogean;Creek;Muskogee;Krik;Creek;Muskogeano;Muskogean;Muskogean;Muskogean;Muskogean;Muscogee;Êğèê;Muskogean;x
mustvalge;Mustvalge;Moustvalquée;Mustvalkeisch;Mustvalkska;Mustvalque;Mustvalge;Musvalghe;Mustvalge;Mustvalge;Mustvalge;Mustavalque;Ìóñòâàëüêñêàÿ;Mustvalge;x
mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Mysehi;Ìèñåõè;Mysehi;x
na_dene;Na Dene;Na-Déné;Na-Dené;Na-Dene;Na-Dené;Na Dené;Na Dene;Na Dene;Na Dene;Na Dene;Na-Dene;Íà-Äåíå;Na Dene;x
naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Naiyeren;Íàåæåíü-Êèòàéñêàÿ;Naiyeren;x 
nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Nanren;Íàíüæıíü;Nanren;x
native_carribean;Native Carribean;Caraïbique;Karibisch;Karaibska;Caribeño;Caraibico;Karib;Carribean;Karib;Carribean;Caribenho;Êàğèáñêàÿ;Karibian;x
native_central_american;Native Central American;Centraméricain;Zentralamerikanisch;Œrodkowoamerykañska;Centroamericano;Nativo centroamericano;Anyanyelvi közép-amerikai;Rodili Amerièan;Anyanyelvi közép-amerikai;Inheems van Centraal-Amerika;Centro-Americano;Öåíòğàëüíîàìåğèêàíñêàÿ;Native Keski-Amerikan;x
native_north_american;Native North American;Nord-Américain;Nordamerikanisch;Pó³nocnoamerykañska;Norteamericano;Nativo nordamericano;Anyanyelvi észak-amerikai;Rodili Severoamericki;Anyanyelvi észak-amerikai;Inheems van Noord-Amerika;Norte-Americano;Ñåâåğîàìåğèêàíñêàÿ;Native Pohjois-Amerikka;x
native_south_american;Native South American;Sud-Américain;Südamerikanisch;Po³udniowoamerykañska;Sudamericano;Nativo sudamericano;Anyanyelvi dél-amerikai;Native Jiní Ameriky;Anyanyelvi dél-amerikai;Inheems van Zuid-Amerika;Sul-Americano;Şæíîàìåğèêàíñêàÿ;Native eteläamerikkalainen;x
nayeduniya;Nayeduniya;Naïédouniya;Najedunija;Najedunija;Nayeduniya;Naiedunia;Nayeduniya;Nayeduniya;Nayeduniya;Nayeduniya;Nayeduniya;Íàåäóíèÿ;Nayeduniya;x
negru;Lau;Leoue;Lau;Lau;Lau;Negru;Negru;Negru;Negru;Negru;Lâu;Ëàâ;Negru;x
nehwaustronijaz;Nehwaustronijaz;Neouaustrônienne;Neuaustronisch;Nevaustronijazka;Neguaustroniyaza;Nehwaustronijaz;Nehwaustronijaz;Nehwaustronijaz;Nehwaustronijaz;Nehwaustronijaz;Neguaustrônhaça;Íåãâàâñòğîíèÿçñêàÿ;Nehwaustronijaz;x
neokosmi;Neokosmi;Néocosmie;Neokosmi;Neokosmijska;Neokosmi;Neokosmi;Neokosmi;Neokosmi;Neokosmi;Neokosmi;Neokosmi;Íåâêîñìè;Neokosmi;x
neotyrrhenian;Neo-Tyrrhenian;Néo-Tyrrhénienne;Neutyrrhenisch;Neotyrreñska;Neotirrena;Neo-Tirrena;Új-tirrén;Neo-Tyrrhenian;Új-tirrén;Neo-Tyrreense;Neo-Tirrena;Íîâîòèğğåíñêàÿ;Uus Tyrrhenian;x
neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;Neteotoquiliztlitekatl;x
newswiss;Neoswiss;Néosuisse;Neuschweizerisch;Neoszwajcarska;Neosuiza;Neosvizzera;Neoswiss;Neoswiss;Neoswiss;Neoswiss;Neo-Suíça;Íîâîøâåéöàğñêàÿ;Neoswiss;x
nieuwereld;Nieuwereld;Niouviralte;Neuwelterisch;Niuwiroltska;Nyuvirolte;Nieuwereld;Nieuwereld;Nieuwereld;Nieuwereld;Nieuwereld;Niuvírolte;Íüşâèğîëüòñêàÿ;Nieuwereld;x
non_human;Non-Human;Animal;Tierisch;Zwierzê;Animal;Non umano;Nem emberi;Non-Human;Nem emberi;Niet menselijk;Animal;Æèâîòíàÿ;Ei ihminen;x
noric;Noric;Norique;Norisch;Norikska;Nórica;Norica;Noric;Noric;Noric;Noric;Nórica;Íîğèêñêàÿ;Noric;x
notios;Notios;Notios;Notios;Notios;Notios;Notios;Notios;Notios;Notios;Notios;Notios;Íîòèîñ;Notios;x
nouvellien;Nouvellien;Nouvellienne;Nouvellien;Nuveljeñska;Nuvellena;Nouvellien;Nouvellien;Nouvellien;Nouvellien;Nouvellien;Nouvellien;Íóâåëüåíñêàÿ;Nouvellien;x
nova_scotian;Nova Scotian;Néoécossaise;Neuschottisch;Neoszkocka;Neoescocesa;Neoscozzese;Új-skót;Novo-skotskı;Új-skót;Nova Scotian;Neo-Escocesa;Íîâîøîòëàíäñêàÿ;Nova Scotian;x
novisvet;Novisvet;Novisvétoise;Nowiswet;Novisvetovska;Novisvet;Novisvet;Novisvet;Novisvet;Novisvet;Novisvet;Novisvet;Íîâèñâıòñêàÿ;Novisvet;x
novvymir;Novvymir;Novvymiroise;Nowymir;Novvymirska;Novvymir;Novvymir;Novvymir;Novvymir;Novvymir;Novvymir;Novvimir;Íîâîìèğñêàÿ;Novvymir;x
novysvet;Novisvêt;Novysvétaise;Nowiswjet;Novisv?tska;Novisvêt;Novisvêt;Novisvêt;Novisvìt;Novisvêt;Novisvêt;Novisvêt;Íîâèñâüåòñêàÿ;Novisvêt;x
nowyswiat;Nowyswiat;Nowychfiatoise;Nowyschwiat;Nowyœwiatska;Nowyswiat;Nowyswiat;Nowyswiat;Nowyœwiat;Nowyswiat;Nowyswiat;Nowyswiat;Íîâèøâÿòñêàÿ;Nowyswiat;x
nuragic;Nuragic;Nuragique;Nuragherisch;Nurag;Nurágica;Nuragico;Nuragic;Nuragic;Nuragic;Nuraghische;Nuráguica;Íóğàãèéñêàÿ;Nuragic;x
nyasverigian;Nyasverigian;Nuasvérienne;Neuschwedisch;Nyaswerjejska;Niasveria;Niasverigia;Nyasverigian;Nyasverigian;Nyasverigian;Nyasverigian;Niuasvâriã;Íîâîñâåğüåéñêàÿ;Nyasverigian;x
occitan;Occitan;Occitaine;Okzitanisch;Oksytañska;Occitana;Occitano;Okszitán;Occitan;Okszitán;Occitaans;Occitana;Îêñèòàíñêàÿ;Oksitaani;x
old_italian;Italic;Vieux-Italien;Altitalienisch;Starow³oska;Antiguo-Italiano;Italica;Dõlt;Kurzíva;Dõlt;Cursief;Italiano Antigo;Ñòàğîèòàëüÿíñêàÿ;Kursiivi;x
old_italian_african;Camelic;Camélique;Kamelisch;Kamelijska;Camélica;Camelica;Teve;Velbloudí;Teve;Camelisch;Camélica;Êàìåëèéñêàÿ;Kameli;x
old_italian_american;Pelignian;Pélignienne;Pelignisch;Pelignijska;Peliña;Peligniana;Pelignian;Pelignian;Pelignian;Pelignian;Peligniana;Ïåëèãíèéñëàÿ;Pelignian;x
old_italian_australian;Orconian;Orconienne;Orkonisch;Orkoñska;Orconiana;Orconiana;Orconian;Orconian;Orconian;Orconian;Orconiana;Îğêîíñêàÿ;Orconian;x
old_ligurian;Ligurian;Ligure;Ligurisch;Liguryjska;Ligur;Ligure;Liguriai;Ligurian;Liguriai;Ligurisch;Lígure;Ëèãóğñêàÿ;Ligurialainen;x
oldpommeranian;Pomeranian;Poméranienne;Pomoranisch;Pomorska;Pomerania;Pomerane;Pomeraniai;Pomorske;Pomeraniai;Pommeren;Pomerânia;Ïîìîğñêàÿ;Pommerilainen;X
oldspain;Iberian;Ibérique;Iberisch;Iberyjska;Ibérica;Iberico;ibériai;iberskı;ibériai;Iberisch;Ibera;Èáåğèéñêàÿ;Iberian;x
oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;Oltremare;x
ontustik;Ontustik;Ogntustique;Onjtüstik;Oñtystikska;Oñtustik;Ogntiustica;Ontustik;Ontustik;Ontustik;Ontustik;Onhtiustica;Îíüòşñòèê;Ontustik;x
ostrogothic;Ostrogothic;Ostrogothe;Ostgotisch;Ostrogotycka;Ostrogoda;Ostrogoto;Osztrogót;Ostrogótština;Osztrogót;Ostrogotische;Ostrogoda;Îñòãîòèêñêàÿ;Ostrogothic;x
outremer;d'Outremer;Outremeroise;Obderseeländisch;Utrmerska;Allendelmarina;Crociato;Keresztes;Køiák;Keresztes;Utremêra;Cruzado;Óòğìåğñêàÿ;Ristiretkeläinen;x
overnissian;Overnissian;Outrenéissienne;Obderneißerisch;Zanyska;Allendelneissiana;Oltranissiana;Overnissian;Overnissian;Overnissian;Overnissian;Transneissiana;Çàíûññêàÿ;Overnissian;x
palmyrene;Palmyrene;Palmyrene;Palmyrisch;Palmyrene;Palmyrene;Palmyrene;Palmyrene;Palmyrene;Palmyrene;Palmyrene;Palmyrene;Ğ¿Ğ°Ğ»ÑŒĞ¼Ğ¸Ñ€ĞµĞ½Ğ°;Palmyrene;x
pecheneg;Pecheneg;Petchénègue;Petschenegisch;Pieczyñska;Pechenega;Pecenega;Pecheneg;Pecheneg;Pecheneg;Pecheneg;Pechenegue;Ïå÷åíåæñêàÿ;Pecheneg;x
penutian;Penutian;Pénutienne;Penutisch;Penutiañska;Penutí;Penuziano;Peneut Nyelv;Penutian;Peneut Nyelv;Penutian;Penutiana;Ïåíóòèéñêàÿ;Penutian;x
phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Phianam;Ïõÿíàì;Phianam;x
phoenician;Phoenician;Phénicienne;Phönizisch;Fenicka;Fenicia;Fenicia;föníciai;fénicki;föníciai;Fenicisch;Fenícia;Ôèíèêèéñêàÿ;Foinikialainen;x
phrygian;Phrygian;Phrygienne;Phrygisch;Frygijska;Frigia;Frigia;Frígiai;Phrygian;Frígiai;Frygisch;Frígia;Ôğèãèéñêàÿ;Phrygian;x
picard;Picard;Picarde;Picardisch;Pikardyjska;Picarda;Piccardo;Picard;Picard;Picard;Picard;Picarda;Ïèêàğäñêàÿ;Picard;x
pictish;Pictish;Picte;Piktisch;Piktyjska;Picta;Pitto;Pictish;Pictish;Pictish;Pictish;Picta;Ïèêòñêàÿ;Piktiläinen;x
pie_african;Lurbeltzian;Lurbeltzane;Lurbeltzisch;Lurbeltzska;Lurbeltzana;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Lurbeltzã;Ëóğáåëòöàíñêàÿ;Bhleg;x
pie_american;Munduberrian;Moundouberrienne;Munduberrisch;Munduberrijska;Munduberriana;Newehti;Newehti;Newehti;Newehti;Newehti;Munduberriana;Ìóíäóáåğğèéñêàÿ;Newehti;x
pie_oceanian;Hondaritsasoan;Hondaritsasô;Hondaritsasoisch;Hondaritsasoañska;Hondaritsasoana;Hondaritsasoana;Hondaritsasoan;Hondaritsasoan;Hondaritsasoan;Hondaritsasoan;Hondaritsasoã;Õîíäàğèòñàñîàíñêàÿ;Hondaritsasoan;x
plains_algonquian;Plains Algonquian;Algonquienne des Plaines;Ebenenalgonkinisch;Równoalgonkiñska;Algonquina Llanera;Algonchino delle Piane;Alföld Algonquian;Plains Algonquian;Alföld Algonquian;Vlaktes Algonquian;Algonquiana das Planícias;Ğàâíèííîàëãîíêèíñêàÿ;Plains Algonquian;x
pmpese;Pmpese;Pmpoise;Pömpisch;Pympska;Pumpesa;Pmpesa;Pmpese;Pmpese;Pmpese;Pmpese;Pmpesa;Ïûìïñêàÿ;Pmpese;x
poludniowy;Poludniowy;Povoudgnovie;Powudnjowi;Po³udniowa;Poudñoví;Poludniowy;Poludniowy;Po³udniowy;Poludniowy;Poludniowy;Povudnhovi;Ïîâóäíüîâàÿ;Poludniowy;x
pre_indo_european;Chalcolithic;Chalcolithique;Chalcolitisch;Chalkolitska;Calcolítico;Pre-indoeuropeo;Indoeurópa elotti;Preindoevropskı;Indoeurópa elotti;Pre-Indo-Europees;Calcolítico;İíåîëèòñêàÿ;Pre-indoeurooppalainen;x
prettanian;Prettanian;Prettanique;Prettanisch;Prettyjska;Prettánica;Prettaniana;Prettanian;Prettanian;Prettanian;Prettanian;Pretânica;Ïğåòàíñêàÿ;Prettanian;x
pruthenian;Pruthenian;Prussienne;Altpreußisch;Pruska;Prusiana;Prutena;Pruthenianus;Pruthenian;Pruthenianus;Prutheens;Prussiana;Ïğóññêàÿ;Pruthenian;x
punic;Punic;Punique;Punisch;Punicka;Púnico;Punica;Pun;Punic;Pun;Punisch;Púnico;Ïóíè÷åñêàÿ;Punic;x
punic_american;Hannibalesque;Américaine Punique;Punisch-Amerikanisch;Punicka Amerykañska;Púnica Americana;Annibalesca;Hannibalesque;Hannibalesque;Hannibalesque;Hannibalesque;Púnica Americana;Ïóíè÷åñêàÿ Àìåğèêàíñêàÿ;Hannibalesque;x
punic_australian;Hamilcarian;Australienne Punique;Punisch-Australianisch;Punicka Australijska;Púnica Australiana;Amilcariana;Hamilcarian;Hamilcarian;Hamilcarian;Hamilcarian;Púnica Australiana;Ïóíè÷åñêàÿ Àâñòğàëèéñêàÿ;Hamilcarian;x
qalindigi;Qalindigi;Qalindigi;Qalindigi;Kalindigi;Qalindigi;Calindigo;Qalindigi;Qalindigi;Qalindigi;Qalindigi;Qalindigi;Êàëèíäèãè;Qalindigi;x
raudhskogarling;Rauğskógarling;Raoudescogarlingue;Raudskogarling;Raudskogarlingska;Rauğskógarling;Raudscogarlinga;Rauğskógarling;Rauğskógarling;Rauğskógarling;Rauğskógarling;Raudescogarlinga;Ğàâäñêîãàğëèíãñêàÿ;Rauğskógarling;x
redwoodian;Redwoodian;Rédoudienne;Redwudisch;Redwudska;Redudia;Redudiana;Redwoodian;Redwoodian;Redwoodian;Redwoodian;Redudiã;Ğåäóäèÿíñêàÿ;Redwoodian;x
rhaetian;Rhaetian;Rhète;Rhätisch;Retykska;Rética;Retica;Rhaetian;Rhaetian;Rhaetian;Rhätisch;Réciã;Ğåòñêàÿ;Rhaetian;x
rollonian;Rollonian;Rollonienne;Rollonisch;Rolfska;Rollonesa;Rolloniana;Rollonian;Rollonian;Rollonian;Rollonian;Rolanesa;Ğîëëîíñêàÿ;Rollonian;x
romantic;Romantic;Romantique;Romantisch;Romantyczna;Romántico;Romantico;Romantikus;Romanticki;Romantikus;Romantisch;Romântico;Ğîìàíòè÷íàÿ;Romanttinen;x
saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Saahi;Ñààõè;Saahi;x
sabellian;Sabellian;Sabellique;Sabellisch;Sabellijska;Sabélica;Sabellica;Sabellian;Sabellian;Sabellian;Sabellian;Sabélica;Ñàáåëüñêàÿ;Sabellian;x
salislahtian;Salislahtian;Salislatienne;Salislahtisch;Salislahtska;Salislacia;Salislaziana;Salislahtian;Salislahtian;Salislahtian;Salislahtian;Salislatiana;Ñàëèñëàòñêàÿ;Salislahtian;x
sarmatian;Sarmatian;Sarmate;Sarmatisch;Sarmacka;Sarmática;Sarmata;Szarmata;Sarmatština;Szarmata;Sarmatisch;Sármata;Ñàğìàòñêàÿ;Sarmatian;x
schwarzreicher;Schwarzreicher;Chvartzraïcheuse;Schwarzreichisch;Szwartzrajcherska;Suartzeráyjera;Schwarzreicher;Schwarzreicher;Schwarzreicher;Schwarzreicher;Schwarzreicher;Xuarceráiquera;Øâàğöğåéõåğñêàÿ;Schwarzreicher;x
scottish;Scottish;Écossaise;Schottisch;Szkocka;Escocesa;Scozzese;Skót;Skotski;Skót;Schots;Escocesa;Øîòëàíäñêàÿ;Skotlantilainen;x
sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Sicorathi;Ñèêîğàòè;Sicorathi;x
